Resource Title,Resource Type,Evidence Classification,Language Program,Grade Filter,For Multilingual Learners (MLL),Tier(s),Related Screener(s),Related Subtest(s),Literacy Pillar(s),URL
Abracadabra (1-2),Instructional Resource | Intervention,Evidence Based,English | French,"1,2",Yes,"Tier 1,Tier 2",CTOPP-2 | DIBELS | IDAPEL | THaFoL,Blending | Elision | Facilité en lecture orale | Facilité à lire des mots | Facilité à lire des non-mots | Facilité à nommer des lettres | Letter Naming Fluency | Maze | Nonsense Word Fluency: Correct Letter Sounds | Nonsense Word Fluency: Words Read Correctly | Oral Reading Fluency: Accuracy | Oral Reading Fluency: Words Correct | Phonemic Segmentation Fluency | Word Reading Fluency,Alphabetic Principle | Phonemic Awareness | Phonics | Reading Comprehension | Reading Fluency,https://literacy.concordia.ca/resources/abra/teacher/en/ | https://literacy.concordia.ca/resources/abra/teacher/fr/index.php
Alec (K-5),Instructional Resource,Not specified,French,"K,1,2,3,4,5",No,Tier 1,THaFoL,Facilité à lire des mots | Facilité à lire des non-mots | Facilité à nommer des lettres,Alphabetic Principle | Phonics,https://fr.alec-edu.com/
Core Phonics Assessment - version française,Drill Down Assessment,Not specified,French,,No,Tier 2,THaFoL,Facilité à lire des mots | Facilité à lire des non-mots | Facilité à nommer des lettres,Alphabetic Principle | Phonics,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FPhon%C3%A9tique%2FFrench%20CORE%20phonics%20Assessment%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FPhon%C3%A9tique
CORE Phonics Survey (K-12),Drill Down Assessment,Not specified,English,"K,1,2,3,4,5,6,7,8,9,10,11,12",No,"Tier 2,Tier 3",DIBELS,Letter Naming Fluency | Nonsense Word Fluency: Correct Letter Sounds | Nonsense Word Fluency: Words Read Correctly | Word Reading Fluency,Alphabetic Principle | Phonics,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments%2FCORE%20Phonics%20Survey%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments
DIBELS Maze Progress Monitoring (2-8),Drill Down Assessment,Not specified,English,"2,3,4,5,6,7,8",No,"Tier 2,Tier 3",DIBELS,Maze,Reading Comprehension,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?csf=1&web=1&e=RMQG7y&CID=2b4cc833%2D6eee%2D4304%2D8025%2D610cfaf221e3&FolderCTID=0x012000F20499129962D74E9046ECDF35332B03&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLRSD%20Literacy%20Assessments%2FDIBELS%20%2D%20English%2FProgress%20Monitoring
DIBELS Oral Reading Fluency Progress Monitoring (2-8),Drill Down Assessment,Not specified,English,"2,3,4,5,6,7,8",No,"Tier 2,Tier 3",DIBELS,Oral Reading Fluency: Accuracy | Oral Reading Fluency: Words Correct,Reading Fluency,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/LRSD%20Literacy%20Assessments/DIBELS%20-%20English/Progress%20Monitoring?csf=1&web=1&e=RMQG7y
Diffit (Outil IA) – Produire ses propres textes et questions de compréhension,Drill Down Assessment,Not specified,French,,No,Tier 2,No screener identified,No subtest identified,Reading Comprehension,https://web.diffit.me/
Handwriting without Tears (K-1; 2-12),Instructional Resource | Intervention,Not specified,English,"K,1,2,3,4,5,6,7,8,9,10,11,12",No,"Tier 1,Tier 2,Tier 3",No screener identified,No subtest identified,Orthography,
Handwriting Without Tears - français (K-1),Instructional Resource,Not specified,French,"K,1",No,Tier 1,No screener identified,No subtest identified,Orthography,
Heggerty (K-2),Instructional Resource,Research Based,English,"K,1,2",No,Tier 1,CTOPP-2 | DIBELS,Blending | Elision | Phonemic Segmentation Fluency,Phonemic Awareness,https://heggerty.org/
