127.0.0.1 - - [30/Jan/2026 21:12:25] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:12:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:12:28] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:12:28] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:12:28] "GET /data/interventions.json HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:12:28] "GET /images/book-bkg.svg HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:12:28] "GET /data/tier-flowcharts.json HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:12:28] "GET /data/intervention-menu.json HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:12:29] "GET /data/assessment-schedules.json HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:16:53] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:16:53] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:16:53] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:16:53] "GET /images/book-bkg.svg HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:16:53] "GET /data/interventions.json HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:16:53] "GET /data/tier-flowcharts.json HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:16:53] "GET /data/intervention-menu.json HTTP/1.1" 200 -
127.0.0.1 - - [30/Jan/2026 21:16:53] "GET /data/assessment-schedules.json HTTP/1.1" 200 -
